entry	PH	PHC	PHR	EH	EHC	EHR	DT	DTC	DTR	YP	YPC	YPR	Yrad	YCrad	YRrad
4_58	209.2014	214.7915	203.6113	100.1576	108.618	91.6972	75.6257	61.0613	90.1901	18.5904	25.4646	11.7162	3.9661	4.8369	3.0953
4_60	167.5644	170.2433	164.8855	91.818	99.2596	84.3764	74.4402	60.5242	88.3562	69.1736	109.3068	29.0404	7.3382	10.1758	4.5006
4_61	122.9032	121.5984	124.208	70.4849	68.927	72.0428	76.3906	67.821	84.9602	39.6763	38.9209	40.4317	6.1562	6.0351	6.2773
4_67	141.1129	136.4373	145.7885	69.7868	63.1349	76.4387	75.0719	63.1655	86.9783	55.9284	48.0559	63.8009	7.3832	6.9015	7.8649
4_68	252.0805	252.3079	251.8531	133.1265	127.4934	138.7596	75.1646	60.368	89.9612	141.5337	140.7637	142.3037	11.8831	11.8543	11.9119
5_11	174.1933	185.759	162.6276	106.5413	114.1527	98.9299	79.4739	67.214	91.7338	68.4352	70.2071	66.6633	8.2503	8.3713	8.1293
5_12	131.5163	113.051	149.9816	52.7933	38.1607	67.4259	77.6122	64.6085	90.6159	20.1668	31.4572	8.8764	4.0196	5.5292	2.51
5_13	212.2177	205.8567	218.5787	108.422	105.6755	111.1685	82.6048	71.19154	94.01806	29.3048	40.5127	18.0969	4.878	6.0246	3.7314
5_14	115.387	116.5338	114.2402	55.1829	58.7191	51.6467	76.0337	61.1084	90.959	52.351	70.75	33.952	6.9048	8.2477	5.5619
5_17	156.1129	151.4373	160.7885	78.2898	81.1467	75.4329	79.1914	67.592	90.7908	52.9311	67.1184	38.7438	7.0738	8.0938	6.0538
5_18	132.8708	136.4691	129.2725	58.7804	60.1091	57.4517	75.0968	60.962	89.2316	34.3604	53.478	15.2428	5.21843	7.14463	3.29223
5_25	163.5321	171.1141	155.9501	70.7487	84.9823	56.5151	77.5239	67.6677	87.3801	30.1136	37.7007	22.5265	5.3382	6.1348	4.5416
5_26	173.6288	185.5009	161.7567	74.4091	87.6239	61.1943	75.7095	66.075	85.344	60.0213	82.1496	37.893	7.4487	9.0101	5.8873
5_29	179.8385	188.3398	171.3372	94.6294	98.5052	90.7536	74.2386	62.6185	85.8587	77.9886	87.0604	68.9168	8.7915	9.3376	8.2454
